restaurant_name,location,cuisine,cost_for_two,rating,votes,budget_category,online_order,book_table,restaurant_type,highlights,listing_type,city
Momo Jojo,Jp Nagar,"chinese, tibetan, momos",300,4.3,539,low,yes,no,Quick Bites,"Noodles, Corn Momo, Manchurian, Momo Platter, Veg Momos, Potato Momos, Tandoori Momos",Delivery,Bannerghatta Road
Chung Wah,New Bel Road,"chinese, momos, thai, vietnamese",650,4.0,539,medium,yes,no,Casual Dining,"Noodles, Fish, Chicken Satay, Momos, Pork Ribs, Sweet Corn Soup, Clear Soup",Dine-out,New BEL Road
RS Shiv Sagar,Commercial Street,"south indian, north indian, chinese",500,4.1,538,medium,no,no,Casual Dining,"Brownie, Paneer Manchurian, Filter Coffee, Chocolate Sizzler, Nachos, Panneer Butter Masala, Masala Papad",Dine-out,Lavelle Road
Tenzin Kitchen,Koramangala 7Th Block,"tibetan, chinese, momos",450,4.2,538,low,yes,no,Quick Bites,"Momos, Noodles, Thukpa, Teriyaki Chicken, Chicken Chowmein, Clear Chicken Soup, Beef Chilli",Dine-out,Koramangala 7th Block
Sky Lounge Bar - Svenska Design Hotel,Electronic City,"north indian, pizza, asian, italian",1500,4.0,537,high,yes,yes,"Bar, Casual Dining","Cocktails, Biryani, Noodles, Beer, Garlic Bread, Tea, Pizza",Pubs and bars,Electronic City
FreshMenu,West Bangalore,"continental, asian, healthy food, burger, biryani, pizza, italian, fast food",450,3.3,537,low,yes,no,Delivery,"Sandwich, Salads, Pizza, Sandwiches, Salad, Pasta, Fish",Delivery,Rajajinagar
Vietnamese Kitchen,Indiranagar,"chinese, vietnamese, momos, thai",800,4.1,537,medium,yes,yes,Casual Dining,"Pho, Pad Thai, Jasmine Tea, Chocolate Shake, Spring Roll, Thai Green Curry, Momos",Dine-out,Old Airport Road
KFC,Marathahalli,"burger, fast food",450,3.9,536,low,yes,no,Quick Bites,Crispy Chicken,Delivery,Marathahalli
Inchara,Jp Nagar,"north indian, continental, chinese",950,3.7,536,medium,no,no,Casual Dining,"Paneer Tikka, Chicken Biryani, Cocktails, Prawn, Barbeque Chicken, Malai Kofta, Roti",Dine-out,JP Nagar
Samaikya,Hsr,"andhra, seafood, biryani",900,3.9,536,medium,yes,yes,Casual Dining,"Andhra Thali, Mutton Biryani, Mutton Fry, Lassi, Chicken Curry, Ragi Mudde, Ulavacharu",Delivery,Koramangala 5th Block
Bamey's Restro Cafe,Koramangala 5Th Block,"chinese, singaporean, thai, asian, nepalese, momos",600,4.2,534,medium,yes,no,Casual Dining,"Momo Platter, Thali, Noodles, Chicken Sekuwa, Chicken Thukpa, Jhol Momos, Veg Momos",Dine-out,Koramangala 4th Block
Asha Food Camp,Malleshwaram,"south indian, street food, fast food",800,4.1,534,medium,no,no,Quick Bites,"Panneer Butter Masala, Manchurian, Fruit Salad, Idli, Filter Coffee, Dhokla, Kashmiri Pulao",Dine-out,Malleshwaram
Pulimunchi,Sadashiv Nagar,"mangalorean, seafood",1000,4.1,533,medium,yes,yes,Casual Dining,"Neer Dosa, Egg Ghee Roast, Sea Food, Tender Coconut Souffle, Murgh Ghee Roast, Fish, Appam",Delivery,Rajajinagar
Aroma's Hyderabad House,Nagawara,"mughlai, biryani, north indian",800,4.2,533,medium,yes,no,Casual Dining,"Vegetable Biryani, Hyderabadi Biryani, Chicken Dum Biryani, Raita, Chicken Boneless Biryani, Mutton Biryani, Paneer Biryani",Delivery,Kalyan Nagar
Vasudev Adiga's,Hsr,"south indian, north indian, chinese, street food",250,3.7,532,low,no,no,Casual Dining,"Pongal, Khara Bhath, Lassi, Vada, Idli, Paper Masala Dosa, Filter Coffee",Dine-out,HSR
Plantain Leaf,Thippasandra,"andhra, chinese, north indian, biryani",600,3.9,531,medium,yes,no,Casual Dining,"Chicken Boneless Biryani, Chicken Guntur, Tandoori Chicken, Crispy Chicken, Panner Tikka, Hyderabadi Biryani, Naan",Dine-out,Old Airport Road
7 Plates,Kalyan Nagar,"north indian, mughlai, rolls, fast food",600,3.5,531,medium,yes,no,Casual Dining,"Rolls, Mutton Biryani, Tangdi Kabab, Butter Chicken, Kheer, Chicken Roll, Tandoori Chicken",Dine-out,Kammanahalli
